problem_no,problem_name,difficulty,count
1,两数之和,简单,0
2,两数相加,中等,1
3,无重复字符的最长子串,中等,2
4,寻找两个有序数组的中位数,困难,3
5,最长回文子串,中等,4
10,正则表达式匹配,困难,5
11,盛最多水的容器,中等,6
15,三数之和,中等,7
17,电话号码的字母组合,中等,8
19,删除链表的倒数第N个节点,中等,9
20,有效的括号,简单,10
21,合并两个有序链表,简单,11
22,括号生成,中等,12
23,合并K个排序链表,困难,13
31,下一个排列,中等,14
32,最长有效括号,困难,15
33,搜索旋转排序数组,中等,16
34,在排序数组中查找元素的第一个和最后一个位置,中等,17
39,组合总和,中等,18
42,接雨水,困难,19
46,全排列,中等,20
48,旋转图像,中等,21
49,字母异位词分组,中等,22
53,最大子序和,简单,23
55,跳跃游戏,中等,24
56,合并区间,中等,25
62,不同路径,中等,26
64,最小路径和,中等,27
70,爬楼梯,简单,28
72,编辑距离,困难,29
75,颜色分类,中等,30
76,最小覆盖子串,困难,31
78,子集,中等,32
79,单词搜索,中等,33
84,柱状图中最大的矩形,困难,34
85,最大矩形,困难,35
94,二叉树的中序遍历,中等,36
96,不同的二叉搜索树,中等,37
98,验证二叉搜索树,中等,38
101,对称二叉树,简单,39
102,二叉树的层次遍历,中等,40
104,二叉树的最大深度,简单,41
105,从前序与中序遍历序列构造二叉树,中等,42
114,二叉树展开为链表,中等,43
121,买卖股票的最佳时机,简单,44
124,二叉树中的最大路径和,困难,45
128,最长连续序列,困难,46
136,只出现一次的数字,简单,47
139,单词拆分,中等,48
141,环形链表,简单,49
142,环形链表 II,中等,50
146,LRU缓存机制,中等,51
148,排序链表,中等,52
152,乘积最大子序列,中等,53
155,最小栈,简单,54
160,相交链表,简单,55
169,多数元素,简单,56
198,打家劫舍,简单,57
200,岛屿数量,中等,58
206,反转链表,简单,59
207,课程表,中等,60
208,实现 Trie (前缀树),中等,61
215,数组中的第K个最大元素,中等,62
221,最大正方形,中等,63
226,翻转二叉树,简单,64
234,回文链表,简单,65
236,二叉树的最近公共祖先,中等,66
238,除自身以外数组的乘积,中等,67
239,滑动窗口最大值,困难,68
240,搜索二维矩阵 II,中等,69
253,会议室 II,中等,70
279,完全平方数,中等,71
283,移动零,简单,72
287,寻找重复数,中等,73
297,二叉树的序列化与反序列化,困难,74
300,最长上升子序列,中等,75
301,删除无效的括号,困难,76
309,最佳买卖股票时机含冷冻期,中等,77
312,戳气球,困难,78
322,零钱兑换,中等,79
337,打家劫舍 III,中等,80
338,比特位计数,中等,81
347,前 K 个高频元素,中等,82
394,字符串解码,中等,83
399,除法求值,中等,84
406,根据身高重建队列,中等,85
416,分割等和子集,中等,86
437,路径总和 III,简单,87
438,找到字符串中所有字母异位词,中等,88
448,找到所有数组中消失的数字,简单,89
461,汉明距离,简单,90
494,目标和,中等,91
538,把二叉搜索树转换为累加树,简单,92
543,二叉树的直径,简单,93
560,和为K的子数组,中等,94
581,最短无序连续子数组,简单,95
617,合并二叉树,简单,96
621,任务调度器,中等,97
647,回文子串,中等,98
739,每日温度,中等,99